               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.022821,            0.020919,           0.0020051,               0.994,             0.99951,               0.995,             0.86739,            0.015713,           0.0081418,           0.0008165,            0.005413,            0.005413,            0.005413
                 141,            0.022338,             0.02066,            0.001671,             0.99406,              0.9994,               0.995,             0.87155,            0.013582,           0.0080898,          0.00082744,             0.00538,             0.00538,             0.00538
                 142,            0.024232,            0.023099,           0.0020698,             0.99719,             0.99968,               0.995,              0.8655,            0.014917,           0.0081867,          0.00084028,            0.005347,            0.005347,            0.005347
                 143,            0.021092,            0.020502,           0.0020155,             0.99784,             0.99874,               0.995,               0.879,            0.013633,           0.0080975,           0.0008495,            0.005314,            0.005314,            0.005314
                 144,            0.021112,            0.022374,           0.0021457,             0.99824,               0.998,               0.995,             0.87436,            0.014518,           0.0082205,          0.00085338,            0.005281,            0.005281,            0.005281
                 145,            0.021348,            0.020966,           0.0017697,              0.9954,              0.9988,             0.99496,             0.86873,            0.013993,           0.0082651,          0.00086546,            0.005248,            0.005248,            0.005248
                 146,            0.022327,            0.020881,           0.0021987,             0.99461,              0.9988,             0.99497,             0.86456,            0.014312,           0.0085679,          0.00086104,            0.005215,            0.005215,            0.005215
                 147,            0.020873,            0.020884,           0.0018186,             0.99471,             0.99845,             0.99497,             0.86471,            0.014193,           0.0085383,          0.00079969,            0.005182,            0.005182,            0.005182
                 148,            0.020559,            0.020712,           0.0013289,             0.99898,             0.99838,               0.995,             0.87318,            0.013961,           0.0082919,          0.00076097,            0.005149,            0.005149,            0.005149
                 149,            0.021385,            0.021072,           0.0021259,             0.99495,             0.99832,             0.99497,             0.86394,            0.014354,           0.0083776,          0.00072076,            0.005116,            0.005116,            0.005116
                 150,            0.020856,            0.020072,           0.0017441,             0.99848,             0.99703,               0.995,             0.87704,            0.013466,           0.0079298,          0.00071411,            0.005083,            0.005083,            0.005083
                 151,            0.023068,            0.020936,           0.0025272,             0.99687,             0.99972,               0.995,             0.88777,            0.013557,           0.0079006,          0.00072378,             0.00505,             0.00505,             0.00505
                 152,            0.019897,            0.021364,           0.0015013,             0.99371,             0.99934,               0.995,             0.89147,            0.012622,           0.0078843,          0.00075143,            0.005017,            0.005017,            0.005017
                 153,            0.019853,            0.020286,           0.0019281,             0.99793,             0.99928,               0.995,             0.88163,            0.013136,           0.0078775,          0.00077154,            0.004984,            0.004984,            0.004984
                 154,            0.020118,            0.021022,           0.0018644,             0.99728,             0.99951,               0.995,             0.88565,            0.012926,           0.0080788,          0.00077209,            0.004951,            0.004951,            0.004951
                 155,            0.019936,            0.019094,           0.0018253,             0.99862,             0.99944,               0.995,             0.88151,             0.01369,           0.0081131,          0.00075525,            0.004918,            0.004918,            0.004918
                 156,             0.01934,            0.019522,           0.0014232,             0.99895,                   1,               0.995,             0.88811,            0.013018,           0.0078038,           0.0007479,            0.004885,            0.004885,            0.004885
                 157,            0.020312,            0.019375,           0.0023626,             0.99764,                   1,               0.995,             0.89056,            0.013329,           0.0077581,          0.00072858,            0.004852,            0.004852,            0.004852
